Col_ID,Description,Flag for Removal,Flag for Rename,Category,Rename ideas,
MEM_shcoeffs_L3M11S_lcc,,Y,,,,
MEM_shcoeffs_L3M12C_lcc,,Y,,,,
MEM_shcoeffs_L3M12S_lcc,,Y,,,,
MEM_shcoeffs_L3M13C_lcc,,Y,,,,
MEM_shcoeffs_L3M13S_lcc,,Y,,,,
MEM_shcoeffs_L3M14C_lcc,,Y,,,,
MEM_shcoeffs_L3M14S_lcc,,Y,,,,
MEM_shcoeffs_L3M15C_lcc,,Y,,,,
MEM_shcoeffs_L3M15S_lcc,,Y,,,,
MEM_shcoeffs_L3M16C_lcc,,Y,,,,
MEM_shcoeffs_L3M16S_lcc,,Y,,,,
MEM_shcoeffs_L3M1C_lcc,,Y,,,,
MEM_shcoeffs_L3M1S_lcc,,Y,,,,
MEM_shcoeffs_L3M2C_lcc,,Y,,,,
MEM_shcoeffs_L3M2S_lcc,,Y,,,,
MEM_shcoeffs_L3M3C_lcc,,Y,,,,
MEM_shcoeffs_L3M3S_lcc,,Y,,,,
MEM_shcoeffs_L3M4C_lcc,,Y,,,,
MEM_shcoeffs_L3M4S_lcc,,Y,,,,
MEM_shcoeffs_L3M5C_lcc,,Y,,,,
MEM_shcoeffs_L3M5S_lcc,,Y,,,,
MEM_shcoeffs_L3M6C_lcc,,Y,,,,
MEM_shcoeffs_L3M6S_lcc,,Y,,,,
MEM_shcoeffs_L3M7C_lcc,,Y,,,,
MEM_shcoeffs_L3M7S_lcc,,Y,,,,
MEM_shcoeffs_L3M8C_lcc,,Y,,,,
MEM_shcoeffs_L3M8S_lcc,,Y,,,,
MEM_shcoeffs_L3M9C_lcc,,Y,,,,
MEM_shcoeffs_L3M9S_lcc,,Y,,,,
MEM_shcoeffs_L4M0C_lcc,,Y,,,,
MEM_shcoeffs_L4M0S_lcc,,Y,,,,
MEM_shcoeffs_L4M10C_lcc,,Y,,,,
MEM_shcoeffs_L4M10S_lcc,,Y,,,,
MEM_shcoeffs_L4M11C_lcc,,Y,,,,
MEM_shcoeffs_L4M11S_lcc,,Y,,,,
MEM_shcoeffs_L4M12C_lcc,,Y,,,,
MEM_shcoeffs_L4M12S_lcc,,Y,,,,
MEM_shcoeffs_L4M13C_lcc,,Y,,,,
MEM_shcoeffs_L4M13S_lcc,,Y,,,,
MEM_shcoeffs_L4M14C_lcc,,Y,,,,
MEM_shcoeffs_L4M14S_lcc,,Y,,,,
MEM_shcoeffs_L4M15C_lcc,,Y,,,,
MEM_shcoeffs_L4M15S_lcc,,Y,,,,
MEM_shcoeffs_L4M16C_lcc,,Y,,,,
MEM_shcoeffs_L4M16S_lcc,,Y,,,,
MEM_shcoeffs_L4M1C_lcc,,Y,,,,
MEM_shcoeffs_L4M1S_lcc,,Y,,,,
MEM_shcoeffs_L4M2C_lcc,,Y,,,,
MEM_shcoeffs_L4M2S_lcc,,Y,,,,
MEM_shcoeffs_L4M3C_lcc,,Y,,,,
MEM_shcoeffs_L4M3S_lcc,,Y,,,,
MEM_shcoeffs_L4M4C_lcc,,Y,,,,
MEM_shcoeffs_L4M4S_lcc,,Y,,,,
MEM_shcoeffs_L4M5C_lcc,,Y,,,,
MEM_shcoeffs_L4M5S_lcc,,Y,,,,
MEM_shcoeffs_L4M6C_lcc,,Y,,,,
MEM_shcoeffs_L4M6S_lcc,,Y,,,,
